muni_id,name,county,admin_region
09671121,Goldbach,,
09472143,Goldkronach,,
09575127,Gollhofen,,
09279116,Gottfrieding,,
09772149,Graben,,
09189119,Grabenstätt,,
09272120,Grafenau,,
09678136,Grafenrheinfeld,,
09374124,Grafenwöhr,,
09179125,Grafrath,,
09180118,Grainau,,
09272121,Grainet,,
09272453,Graineter Wald,,
09679451,Gramschatzer Wald,,
09184121,Grasbrunn,,
09189120,Grassau,,
09576122,Greding,,
09181123,Greifenberg,,
09173127,Greiling,,
09678138,Grettstadt,,
09679141,Greußenheim,,
09187134,Griesstätt,,
09772151,Großaitingen,,
09673126,Großbardorf,,
09673127,Großeibstadt,,
09572127,Großenseebach,,
09672457,Großer Auersberg,,
09573115,Großhabersdorf,,
09676125,Großheubach,,
09187137,Großkarolinenfeld,,
09675131,Großlangheim,,
09671122,Großostheim,,
09180119,Großweil,,
09473134,Grub am Forst,,
09184120,Gräfelfing,,
09677133,Gräfendorf,,
09179126,Gröbenzell,,
09776113,Grünenbach,,
09184122,Grünwald,,
09184454,Grünwalder Forst,,
09187138,Gstadt am Chiemsee,,
09471137,Gundelsheim,,
09774136,Gundremmingen,,
09577136,Gunzenhausen,,
09376133,Guteneck,,
09575128,Gutenstetten,,
09477118,Guttenberg,,
09679452,Guttenberger Wald,,
09674139,Gädheim,,
09777131,Görisried,,
09474129,Gößweinstein,,
09574457,Günthersbühler Forst,,
09178129,Haag an der Amper,,
09183119,Haag in Oberbayern,,
09184123,Haar,,
09275125,Haarbach,,
09190126,Habach,,
09273453,Hacklberg,,
09575129,Hagenbüchach,,
09371126,Hahnbach,,
09278129,Haibach,,
09671124,Haibach,,
09272122,Haidmühle,,
09574458,Haimendorfer Forst,,
09174121,Haimhausen,,
09171118,Haiming,,
09779154,Hainsfarth,,
09777173,Halblech,,
09774140,Haldenwang,,
09780122,Haldenwang,,
09187139,Halfing,,
09178130,Hallbergmoos,,
09471140,Hallstadt,,
09171119,Halsbach,,
09672127,Hammelburg,,
09574128,Happurg,,
09779155,Harburg (Schwaben),,
09574129,Hartenstein,,
09278134,Haselbach,,
09677137,Hasloch,,
09179128,Hattenhofen,,
09577138,Haundorf,,
09773137,Haunsheim,,
09176451,Haunstetter Forst,,
09471455,Hauptsmoor,,
09677457,Haurain,,
09273125,Hausen,,
09474134,Hausen,,
09676128,Hausen,,
09673129,Hausen,,
09182119,Hausham,,
09275126,Hauzenberg,,
09778149,Hawangen,,
09674147,Haßfurt,,
09277124,Hebertsfelden,,
09576454,Heidenberg,,
09671126,Heigenbrücken,,
09471142,Heiligenstadt in Oberfranken,,
09571165,Heilsbronn,,
09671127,Heimbuchenthal,,
09776114,Heimenkirch,,
09778150,Heimertingen,,
09472150,Heinersreuth,,
09374451,Heinersreuther Forst,,
09472458,Heinersreuther Forst,,
09671128,Heinrichsthal,,
09671453,Heinrichsthaler Forst,,
09183120,Heldenstein,,
09475136,Helmbrechts,,
09679144,Helmstadt,,
09572130,Hemhofen,,
09575130,Hemmersheim,,
09673130,Hendungen,,
09574131,Henfenfeld,,
09271125,Hengersberg,,
