ags,name,is_kreisfrei,bundesland,regierungsbezirk,landkreis,population,population_date,homepage_url,allowed_domains,lat,lon,wikipedia_url,wikidata_qid,wikipedia_revision,last_checked,source
09173120,Egling,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,5430,2023-12-31T00:00:00Z,http://www.egling.de/,egling.de|www.egling.de,47.916667,11.516667,https://de.wikipedia.org/wiki/Egling,Q264025,263203024,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173123,Eurasburg,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,4350,2023-12-31T00:00:00Z,http://www.eurasburg.de/,eurasburg.de|www.eurasburg.de,47.854444,11.406111,https://de.wikipedia.org/wiki/Eurasburg_(Oberbayern),Q552713,263529099,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173124,Gaißach,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,3141,2023-12-31T00:00:00Z,http://www.gaissach.de,gaissach.de|www.gaissach.de,47.750000,11.583333,https://de.wikipedia.org/wiki/Gai%C3%9Fach,Q550781,261248464,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173126,Geretsried,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,25863,2023-12-31T00:00:00Z,http://www.geretsried.de,geretsried.de|www.geretsried.de,47.866667,11.466667,https://de.wikipedia.org/wiki/Geretsried,Q504780,263794405,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173127,Greiling,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,1453,2023-12-31T00:00:00Z,http://www.gemeinde-greiling.de,gemeinde-greiling.de|www.gemeinde-greiling.de,47.766667,11.616667,https://de.wikipedia.org/wiki/Greiling,Q545202,256636743,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173130,Icking,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,3732,2023-12-31T00:00:00Z,http://www.icking.de,icking.de|www.icking.de,47.950000,11.433333,https://de.wikipedia.org/wiki/Icking,Q254148,263531494,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173131,Jachenau,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,787,2023-12-31T00:00:00Z,https://www.jachenau.de/,jachenau.de|www.jachenau.de,47.600000,11.433333,https://de.wikipedia.org/wiki/Jachenau,Q535418,262844278,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173133,Kochel am See,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,4145,2023-12-31T00:00:00Z,http://www.kochel.de,kochel.de|www.kochel.de,47.658600,11.368200,https://de.wikipedia.org/wiki/Kochel_am_See,Q256533,264122464,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173134,Königsdorf,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,3178,2023-12-31T00:00:00Z,http://www.gemeinde-koenigsdorf.de,gemeinde-koenigsdorf.de|www.gemeinde-koenigsdorf.de,47.816667,11.483333,https://de.wikipedia.org/wiki/K%C3%B6nigsdorf_(Oberbayern),Q377715,259148157,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173135,Lenggries,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,10143,2023-12-31T00:00:00Z,https://www.lenggries.de/,lenggries.de|www.lenggries.de,47.680278,11.573889,https://de.wikipedia.org/wiki/Lenggries,Q532151,263003218,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173137,Münsing,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,4397,2023-12-31T00:00:00Z,http://www.muensing.de,muensing.de|www.muensing.de,47.900000,11.366667,https://de.wikipedia.org/wiki/M%C3%BCnsing,Q532939,263530667,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173140,Reichersbeuern,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,2487,2023-12-31T00:00:00Z,http://www.reichersbeuern.de,reichersbeuern.de|www.reichersbeuern.de,47.766667,11.633333,https://de.wikipedia.org/wiki/Reichersbeuern,Q532923,255916789,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173141,Sachsenkam,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,1315,2023-12-31T00:00:00Z,http://www.sachsenkam.de,sachsenkam.de|www.sachsenkam.de,47.800000,11.650000,https://de.wikipedia.org/wiki/Sachsenkam,Q834894,256271177,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173142,Schlehdorf,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,1319,2023-12-31T00:00:00Z,https://schlehdorf.de,schlehdorf.de|www.schlehdorf.de,47.655000,11.313333,https://de.wikipedia.org/wiki/Schlehdorf,Q550790,256589069,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173145,Wackersberg,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,3702,2023-12-31T00:00:00Z,http://www.wackersberg.de,wackersberg.de|www.wackersberg.de,47.733333,11.550000,https://de.wikipedia.org/wiki/Wackersberg,Q550697,256848355,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173147,Wolfratshausen,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,19499,2023-12-31T00:00:00Z,https://www.wolfratshausen.de/,wolfratshausen.de|www.wolfratshausen.de,47.913333,11.427778,https://de.wikipedia.org/wiki/Wolfratshausen,Q503160,263529762,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09174111,Altomünster,0,Bayern,Oberbayern,Landkreis Dachau,8131,2023-12-31T00:00:00Z,http://www.altomuenster.de,altomuenster.de|www.altomuenster.de,48.383333,11.250000,https://de.wikipedia.org/wiki/Altom%C3%BCnster,Q443815,262562387,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
